status_id,status_type,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,final_time,new_reaction_count,positive_reactions,negative_reactions,interest
208,1,162,6,2,158,3,1,0,0,0,0.8536264567634255,4,162,0,0.04938271604938271
209,3,734,996,73,601,116,11,6,0,0,0.8533347100433245,133,728,6,1.4564032697547684
210,2,42,16,9,41,1,0,0,0,0,0.8517778697728847,1,42,0,0.5952380952380952
211,2,33,6,3,31,2,0,0,0,0,0.8517321938806528,2,33,0,0.2727272727272727
212,3,29,6,1,29,0,0,0,0,0,0.8514491320133001,0,29,0,0.2413793103448276
213,1,43,6,0,42,1,0,0,0,0,0.8510029879110066,1,43,0,0.13953488372093023
214,1,14,6,0,13,1,0,0,0,0,0.8508154594238855,1,14,0,0.42857142857142855
215,3,475,574,48,406,63,4,2,0,0,0.8508051662650726,69,473,2,1.3094736842105263
216,1,50,8,2,49,1,0,0,0,0,0.8491466810513562,1,50,0,0.2
217,1,94,23,6,94,0,0,0,0,0,0.8491138716076402,0,94,0,0.30851063829787234
218,3,303,34,3,291,11,1,0,0,0,0.8489671940945575,12,303,0,0.12211221122112212
219,1,168,7,1,167,1,0,0,0,0,0.8486841322272047,1,168,0,0.047619047619047616
220,1,248,14,0,241,7,0,0,0,0,0.8485966403772958,7,248,0,0.056451612903225805
221,1,422,6,0,410,8,3,1,0,0,0.8485705858190508,12,421,1,0.014218009478672985
222,1,189,3,0,184,2,0,3,0,0,0.8485033586255545,5,186,3,0.015873015873015872
223,1,390,17,2,382,5,3,0,0,0,0.8482231917091179,8,390,0,0.04871794871794872
224,1,618,28,0,597,14,7,0,0,0,0.8472755777759121,21,618,0,0.045307443365695796
225,1,191,2,2,188,2,1,0,0,0,0.8462414369764361,3,191,0,0.020942408376963352
226,3,321,1381,67,275,44,1,1,0,0,0.8448110095626662,46,320,1,4.510903426791277
227,1,364,7,2,347,15,2,0,0,0,0.8444983548637266,17,364,0,0.024725274725274724
228,1,51,10,0,51,0,0,0,0,0,0.8430981636039694,0,51,0,0.19607843137254902
229,3,282,524,38,247,34,0,1,0,0,0.8426590960483599,35,281,1,1.9929078014184398
230,1,369,14,1,362,7,0,0,0,0,0.841280456089867,7,369,0,0.04065040650406504
231,1,138,16,6,133,4,1,0,0,0,0.8407529317007096,5,138,0,0.15942028985507245
232,1,96,9,1,93,1,2,0,0,0,0.840667691479291,3,96,0,0.10416666666666667
233,1,186,11,0,184,1,1,0,0,0,0.8406268405052526,2,186,0,0.05913978494623656
234,1,487,15,0,461,14,12,0,0,0,0.8370123334558862,26,487,0,0.030800821355236138
235,3,282,19,4,257,20,3,2,0,0,0.8366980704508822,25,280,2,0.08156028368794327
236,1,383,8,1,367,13,3,0,0,0,0.8366588277829082,16,383,0,0.02349869451697128
237,1,216,0,1,211,5,0,0,0,0,0.8366186201312956,5,216,0,0.004629629629629629
238,1,48,0,0,45,2,1,0,0,0,0.8366057536827797,3,48,0,0.0
239,3,885,462,26,659,220,0,2,0,0,0.83656586769238,222,879,2,0.5514124293785311
240,1,185,11,1,175,10,0,0,0,0,0.8365240517347028,10,185,0,0.06486486486486487
241,1,259,1,1,251,7,0,1,0,0,0.8364639010878904,8,258,1,0.007722007722007722
242,1,299,9,0,291,8,0,0,0,0,0.8360949556766931,8,299,0,0.030100334448160536
243,1,199,9,1,186,13,0,0,0,0,0.8352071707290869,13,199,0,0.05025125628140704
244,1,717,40,1,680,30,7,0,0,0,0.8346992676739166,37,717,0,0.05718270571827057
245,1,155,2,0,150,5,0,0,0,0,0.8334554037636291,5,155,0,0.012903225806451613
246,1,293,8,0,282,11,0,0,0,0,0.831361067606432,11,293,0,0.027303754266211604
247,1,243,6,0,237,5,1,0,0,0,0.8309409780623837,6,243,0,0.024691358024691357
248,1,264,2,0,256,2,5,0,0,0,0.8306344349264891,7,263,0,0.007575757575757576
249,1,313,3,0,297,7,6,0,0,0,0.8306328266204247,13,310,0,0.009584664536741214
250,1,208,1,0,201,7,0,0,0,0,0.8305475863990059,7,208,0,0.004807692307692308
251,1,216,0,0,209,6,1,0,0,0,0.8304800375442968,7,216,0,0.0
252,1,247,6,0,234,9,1,0,0,0,0.8301217069531253,10,244,0,0.024291497975708502
253,1,152,1,0,146,5,1,0,0,0,0.8296826393975156,6,152,0,0.006578947368421052
254,1,387,3,0,368,16,1,0,0,0,0.8296379284889225,17,385,0,0.007751937984496124
255,1,178,9,0,170,6,0,0,0,0,0.8295440034147554,6,176,0,0.05056179775280899
256,1,218,4,0,212,5,1,0,0,0,0.8287778064056257,6,218,0,0.01834862385321101
257,1,270,3,0,256,10,3,0,0,0,0.8287015726981682,13,269,0,0.011111111111111112
258,1,351,4,1,344,6,0,0,0,0,0.8286993210696779,6,350,0,0.014245014245014245
259,1,232,0,2,224,8,0,0,0,0,0.8286623300301943,8,232,0,0.008620689655172414
260,1,252,3,0,244,4,4,0,0,0,0.8282766582359262,8,252,0,0.011904761904761904
261,1,122,0,0,114,8,0,0,0,0,0.8281827331617593,8,122,0,0.0
262,1,209,4,0,199,9,1,0,0,0,0.8273357991881914,10,209,0,0.019138755980861243
263,1,305,5,1,295,10,0,0,0,0,0.8244530713981745,10,305,0,0.019672131147540985
264,1,71,10,2,70,1,0,0,0,0,0.8207037883006026,1,71,0,0.16901408450704225
265,1,290,12,0,275,13,1,1,0,0,0.820371833928889,15,289,1,0.041379310344827586
266,1,67,6,3,66,0,1,0,0,0,0.8170783447699977,1,67,0,0.13432835820895522
267,1,783,11,0,752,30,1,0,0,0,0.8166174042519109,31,783,0,0.0140485312899106
268,1,77,2,0,76,1,0,0,0,0,0.8161722251332562,1,77,0,0.025974025974025976
269,3,22,0,0,22,0,0,0,0,0,0.8157019564399952,0,22,0,0.0
270,1,103,0,0,100,2,1,0,0,0,0.8156025631252088,3,103,0,0.0
271,3,32,0,2,32,0,0,0,0,0,0.8152172129921538,0,32,0,0.0625
272,1,239,5,2,229,8,0,0,2,0,0.8144288213593338,10,237,2,0.029288702928870293
273,1,111,6,0,110,1,0,0,0,0,0.8144239964411404,1,111,0,0.05405405405405406
274,3,51,0,1,51,0,0,0,0,0,0.813299790502052,0,51,0,0.0196078431372549
275,3,34,4,0,34,0,0,0,0,0,0.8129475714739257,0,34,0,0.11764705882352941
276,0,15,0,0,15,0,0,0,0,0,0.8125406700396062,0,15,0,0.0
277,3,75,0,5,75,0,0,0,0,0,0.8123933492040976,0,75,0,0.06666666666666667
278,1,177,2,0,173,2,2,0,0,0,0.8116541717368515,4,177,0,0.011299435028248588
279,1,520,8,0,505,13,2,0,0,0,0.8116281171786066,15,520,0,0.015384615384615385
280,1,134,2,0,132,2,0,0,0,0,0.8110057027316435,2,134,0,0.014925373134328358
281,1,228,1,1,220,7,1,0,0,0,0.8100809267445537,8,228,0,0.008771929824561403
282,3,498,254,17,408,77,5,6,1,1,0.8092040782781861,90,490,8,0.5441767068273092
283,1,166,5,2,159,7,0,0,0,0,0.8091876735563281,7,166,0,0.04216867469879518
284,3,272,265,20,228,44,0,0,0,0,0.8088441393809501,44,272,0,1.0477941176470589
285,1,127,7,1,125,2,0,0,0,0,0.8086820221296481,2,127,0,0.06299212598425197
286,1,30,0,0,29,0,1,0,0,0,0.8068514481670297,1,30,0,0.0
287,0,33,1,1,33,0,0,0,0,0,0.8065378284844513,0,33,0,0.06060606060606061
288,1,252,5,0,239,9,4,0,0,0,0.8060453651675002,13,252,0,0.01984126984126984
289,1,287,0,0,286,0,1,0,0,0,0.8060189889480424,1,287,0,0.0
290,1,264,8,3,257,5,2,0,0,0,0.8060160939971263,7,264,0,0.041666666666666664
291,1,152,5,1,148,3,1,0,0,0,0.8060144856910618,4,152,0,0.039473684210526314
292,1,61,5,0,57,3,1,0,0,0,0.8059495101260559,4,61,0,0.08196721311475409
293,3,172,7,7,163,6,2,1,0,0,0.8056153041258519,9,171,1,0.08139534883720931
294,3,616,523,21,459,125,21,8,0,1,0.8055911795348843,155,605,9,0.8831168831168831
295,1,188,0,0,184,4,0,0,0,0,0.8050028611764888,4,188,0,0.0
296,3,593,309,23,484,99,1,4,4,1,0.8045422423196148,109,584,9,0.5598650927487352
297,1,189,2,0,182,5,2,0,0,0,0.8032999867153919,7,189,0,0.010582010582010581
298,1,178,5,0,175,3,0,0,0,0,0.8026270714580034,3,178,0,0.028089887640449437
299,1,318,7,0,313,4,1,0,0,0,0.8021992620448454,5,318,0,0.0220125786163522
300,1,362,9,0,352,7,3,0,0,0,0.8021986187224196,10,362,0,0.024861878453038673
301,1,48,6,0,48,0,0,0,0,0,0.801830638294861,0,48,0,0.125
302,1,248,1,0,244,3,1,0,0,0,0.8017663060522808,4,248,0,0.004032258064516129
303,1,520,2,0,509,11,0,0,0,0,0.8008785211046747,11,520,0,0.0038461538461538464
304,1,97,8,2,94,3,0,0,0,0,0.8005655447445222,3,97,0,0.10309278350515463
305,1,400,16,0,392,6,2,0,0,0,0.8005311269947418,8,400,0,0.04
